"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1122","4511056","V-BELT B-56","NOS","7","21-Jan-2017","3-Oct-2017","787.50","","","","",""
"1123","4511058","V-BELT B-58 (PACK OF MATCH SET  4)","NOS","75","21-Jan-2017","18-Jul-2018","9436.91","","","","",""
"1124","4511059","V-BELT B-59 (PACK OF MATCH SET  4)","NOS","97","21-Jan-2017","28-Jun-2018","12169.06","","","","",""
"1125","4511060","V-BELT B-60(PACK OF  MATCH SET  4)","NOS","62","2-Jan-2018","18-Jul-2018","11736.06","","","","",""
"1126","4511062","V-BELT B-62","NOS","74","29-Jan-2018","11-Jun-2018","10387.55","","","","",""
"1127","4511064","V-BELT B-64 (PACK OF  MATCH SET  4)","NOS","34","21-Jan-2017","7-Jul-2018","5594.75","","","","",""
"1128","4511065","V-BELT B-65","NOS","22","21-Jan-2017","21-Aug-2017","2902.62","","","","",""
"1129","4511066","V-BELT  B-66","NOS","44","21-Jan-2017","15-May-2018","6664.50","","","","",""
"1130","4511068","V-BELT B-68","NOS","42","21-Jan-2017","15-May-2018","6076.72","","","","",""
"1131","4511072","V-BELT B-72 (PACK OF  MATCH SET  4)","NOS","34","21-Jan-2017","27-Apr-2018","5678.14","","","","",""
"1132","4511074","V-BELT-B-74(PACK OF  MATCH SET  4)","NOS","14","21-Jan-2017","31-May-2018","3357.36","","","","",""
"1133","4511075","V - BELT B-75","NOS","50","2-Jan-2018","28-Sep-2017","7665.50","","","","",""
"1134","4511076","V-BELT B-76 (PACK OF MATCH SET  4)","NOS","39","21-Jan-2017","13-Mar-2017","6010.58","","","","",""
"1135","4511078","V - BELT B-78","NOS","5","21-Jan-2017","18-Jul-2018","3702.77","","","","",""
"1136","4511080","V - BELT B-80(PACK OF MATCH SET  2)","NOS","40","29-Jan-2018","7-Jul-2018","8402.40","","","","",""
"1137","4511082","V-BELT B-82  (PACK OF MATCH SET  2)","NOS","42","29-Jan-2018","12-Jun-2018","8984.01","","","","",""
"1138","4511083","V-BELT B-83","NOS","10","21-Jan-2017","1-Jun-2018","2394.00","","","","",""
"1139","4511085","V-BELT B-85","NOS","4","2-Jan-2018","16-Jul-2018","1800.00","","","","",""
"1140","4511086","V - BELT B-86","NOS","2","29-Jan-2018","16-Jul-2018","1528.00","","","","",""
"1141","4511088","V-BELT B-88","NOS","34","7-May-2014","5-Sep-2017","4872.48","","","","",""
"1142","4511089","V-BELT B-89","NOS","6","21-Jan-2017","10-Jul-2018","1923.75","","","","",""
"1143","4511090","V-BELT B-90","NOS","17","21-Jan-2017","10-Jul-2018","4506.99","","","","",""
"1144","4511092","V - BELT B-92","NOS","13","12-Sep-2015","29-Nov-2016","1927.28","","","","",""
"1145","4511095","V-BELT B-95","NOS","16","2-Jan-2018","14-Jun-2018","5593.21","","","","",""
"1146","4511097","V-BELT B-97","NOS","12","21-Jan-2017","23-Oct-2017","2595.02","","","","",""
"1147","4511100","V-BELT B-100(PACK OF MATCH SET 4)","NOS","42","21-Jan-2017","22-Nov-2017","9225.22","","","","",""
"1148","4511101","V-BELT B-101 (PACK OF MATCH SET 4)","NOS","20","21-Jan-2017","22-Nov-2017","4727.78","","","","",""
"1149","4511105","V-BELT B-105","NOS","35","21-Jan-2017","6-Mar-2017","8437.98","","","","",""
"1150","4511108","V-BELT B-108 (PACK OF MATCH SET 4)","NOS","27","21-Jan-2017","13-Feb-2018","6423.33","","","","",""
"1151","4511120","V-BELT B-120","NOS","32","2-Jan-2018","19-Jul-2018","10132.18","","","","",""
"1152","4511124","V - BELT B-124","NOS","16","12-Sep-2015","13-Feb-2014","3900.54","","","","",""
"1153","4511136","V - BELT B-136","NOS","16","","12-Feb-2013","48.98","","","","",""
"1154","4511144","V - BELT B-144","NOS","18","16-Dec-1994","12-Feb-2013","128.86","","","","",""
"1155","4512048","V - BELT C-48","NOS","11","","21-Jan-2006","11.77","","","","",""
"1156","4512080","V - BELT C-80","NOS","12","21-Jan-2017","21-Jun-2016","2933.00","","","","",""
"1157","4512100","V - BELT C-100","NOS","16","21-Jan-2017","11-Feb-2017","5288.00","","","","",""
"1158","4512130","V-BELT C-130 MATCHED SET OF 6","NOS","35","12-Sep-2015","19-Oct-2015","13018.75","","","","",""
"1159","4513144","V - BELT D-144","NOS","16","","19-Nov-1993","126.41","","","","",""
"1160","4514015","","NOS","9","2-Jan-2006","10-Jan-2017","2116.64","","","","",""
"1161","4514016","V-BELT SPB - 2900 (PACK OF MATCH SET 4)","NOS","24","14-Feb-2017","4-Jun-2018","11456.00","","","","",""
"1162","4601012","SKF/FAG/TIMKEN MAKE BEARING LM 48548/510/","NOS","6","17-Nov-2017","7-Sep-2017","1734.66","","","","",""
"1163","4601014","SKF/FAG/TIMKEN  MAKE BEARING 6201","NOS","12","17-Nov-2017","21-Jan-2017","819.72","","","","",""
"1164","4601016","SKF/FAG/TIMKEN MAKE  BEARINGS 6203","NOS","6","17-Nov-2017","13-Feb-2017","575.46","","","","",""
"1165","4601017","SKF/FAG/TIMKEN MAKE BEARING  6204","NOS","6","17-Nov-2017","23-Jun-2018","1656.00","","","","",""
"1166","4601018","SKF/FAG/TIMKEN MAKE BEARING  6205.","NOS","6","17-Nov-2017","21-Jun-2018","2219.04","","","","",""
"1167","4601019","SKF/FAG/TIMKEN MAKE BEARING 6206","NOS","12","17-Nov-2017","26-Jun-2018","4968.00","","","","",""
"1168","4601020","SKF/FAG/TIMKEN MAKE BEARING  6208","NOS","6","17-Nov-2017","11-May-2017","1966.50","","","","",""
"1169","4601021","SKF/FAG/TIMKEN MAKE BEARING 6209","NOS","6","17-Nov-2017","13-May-2017","2376.36","","","","",""
"1170","4601022","SKF/FAG/TIMKEN MAKE BEARING 6210","NOS","3","17-Nov-2017","10-Aug-2012","1248.21","","","","",""
"1171","4601023","SKF/FAG/TIMKEN MAKE BEARING 6215.","NOS","3","17-Nov-2017","11-May-2017","6160.50","","","","",""
"1172","4601024","SKF/FAG/TIMKEN MAKE  BEARING 6207","NOS","2","17-Nov-2017","18-Mar-2017","543.72","","","","",""
"1173","4601026","SRDGR BALL BEARING LIGHT SERIES SKF-6211-E / N","NOS","6","","4-Mar-1998","74.28","","","","",""
"1174","4601029","SKF/FAG/TIMKEN MAKE BEARINGS 6213","NOS","6","17-Nov-2017","5-Sep-2016","4073.76","","","","",""
"1175","4602001","SKF/FAG MAKe IMPORTRED BEARINGS 1311 EKTN","NOS","59","","2-Mar-2001","162.58","","","","",""
"1176","4602008","SKF/NTN/FAG/TIMKEN MAKE BEARING 6309","NOS","2","17-Nov-2017","23-Apr-2018","5634.46","","","","",""
"1177","4602009","SKF/FAG/TIMKEN MAKE BEARING 6310.","NOS","5","17-Nov-2017","10-Jan-2018","4057.20","","","","",""
"1178","4602010","SKF/FAG/TIMKEN MAKE BEARING  6313","NOS","4","12-Mar-2016","8-Jun-2017","5435.87","","","","",""
"1179","4602011","SKF/FAG/TIMKEN MAKE BEARING 6312","NOS","9","17-Nov-2017","6-Jun-2018","16874.64","","","","",""
"1180","4602015","SKF/FAG/TIMKEN MAKE BEARING 6302","NOS","6","17-Nov-2017","13-Feb-2017","852.84","","","","",""
"1181","4602016","SKF/FAG/TIMKEN  MAKE BEARING 6303","NOS","3","17-Nov-2017","9-Jan-2014","486.45","","","","",""
"1182","4602017","SKF/FAG/TIMKEN  MAKE BEARING 6304","NOS","3","17-Nov-2017","10-Aug-2012","418.14","","","","",""
"1183","4602018","SKF/FAG/TIMKEN MAKE  BEARING  6305","NOS","6","17-Nov-2017","18-Mar-2017","1242.00","","","","",""
"1184","4602019","SKF/FAG/TIMKEN MAKE BEARING 6306","NOS","10","17-Nov-2017","26-Jun-2018","4171.91","","","","",""
"1185","4602020","SKF/FAG/TIMKEN MAKE  BEARING 6307","NOS","27","23-Jul-2010","2-Nov-2017","6428.90","","","","",""
"1186","4602021","SKF/NTN/FAG/TIMKEN MAKE BEARING  6308","NOS","18","17-Nov-2017","11-May-2017","8859.64","","","","",""
"1187","4602024","SKF/FAG/TIMKEN MAKE BEARING  6311","NOS","6","17-Nov-2017","11-May-2017","7141.50","","","","",""
"1188","4602035","SKF/FAG/TIMKEN MAKE BEARING 6314","NOS","1","17-Nov-2017","11-May-2017","2934.10","","","","",""
"1189","4603001","SINGLE ROW DEEP GROOVE RADIAL BALL BEARIN","NOS","6","10-Feb-1998","23-May-2013","194.10","","","","",""
